合约,日期,前收盘,开盘价,最高价,最低价,收盘价,成交量,成交金额,涨跌(收盘价),涨跌幅(收盘价),持仓量,前结算,结算价,涨跌(结算价),涨跌幅(结算价),MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
RU,20160927,-8.133205231962734,-8.21251146533075,-8.53355416818502,-8.305417016658986,-8.393416996962358,559048,7404212.93,-135,-7.323683057410726,286318,-8.150814379405588,-8.467886635963772,-190,-14.405526591186081,-18.144444397226742,-18.776417677125167,-19.124593004782675,-19.425159732291554,-19.76181774936711,-20.92089869180829,-11.264913429879684,-8.543523690713577,-0.010154193305754042,0.0
RU,20160928,-8.398340476526442,-8.442452487015053,-8.295520996446065,-8.158902507750007,-8.111032160159063,660858,8859658.04,220,14.195999228962421,299738,-8.476448606056408,-8.185118393323073,165,13.484647749164623,-18.065272025206305,-18.592847262554862,-19.032553414518375,-19.40713272161036,-19.657175314235744,-20.881650144838787,17.72234042619945,13.86776649133111,0.01634472511144131,1.0
RU,20160929,-8.116086901917797,-8.110224772045392,-7.852658048309394,-8.003646061093008,-8.34210606664201,761750,10305967.28,-80,-3.9902320504082027,275630,-8.193693425069192,-7.979201815832795,120,9.890786723603163,-18.115838081598746,-18.445056023115747,-18.943901379348965,-19.39446662100518,-19.55595648621859,-20.839637919292613,-28.6754479776286,-22.69546615280258,-0.00600375234521576,0.0
RU,20160930,-8.347053402724121,-8.306225505914355,-8.584520850369593,-8.184766297608256,-8.461809307513967,409922,5437891.65,-270,-15.377291837969928,255360,-7.987786076350886,-8.42507076156567,-260,-19.340803594917872,-18.215247244945125,-18.323880340357356,-18.844102014636803,-19.383775359740213,-19.530777650102223,-20.78087915367675,-24.75644416627063,-19.26024423152757,-0.02036967182195398,0.0
RU,20161010,-8.466700985261411,-7.83719390907067,-7.639385417515264,-7.6581888640633835,-7.467714387876626,503364,6910080.05,570,31.841772646590698,283638,-8.433634738323,-7.635524384224844,460,32.66069974133295,-18.08522398439323,-18.185195309806673,-18.722055734680687,-19.335266588105483,-19.47516912395522,-20.700366858188502,33.068815367153206,27.552003107515105,0.04119985543910372,1.0
RU,20161011,-7.473067843783582,-7.384162782211121,-7.092401104536542,-7.00888763658989,-6.8310186744659305,672820,9506809.51,480,26.974109426835227,298952,-7.644123517354302,-6.946449677412083,400,28.592123709269373,-17.777281488730047,-18.019902208000154,-18.56995267581803,-19.27193902210505,-19.410611027334234,-20.600719267746307,19.961554255674187,16.473038806436094,0.0337909186906019,1.0
RU,20161012,-6.836667208899229,-6.981599346722959,-6.9982478012802645,-6.644437431629143,-6.899939336361527,497472,7039506.28,40,3.207236864635732,300826,-6.955076636179783,-6.90330991851215,25,2.3046872163166796,-17.538251357416144,-17.86124872813089,-18.436086034527392,-19.185304463781335,-19.352445243835774,-20.507701637500766,2.9407968356102288,2.4171032251639772,0.0028238616307800918,0.0
RU,20161013,-6.905555960678079,-6.973026122830483,-7.075285307038698,-6.887468985793021,-7.14099488611086,622646,8761415.02,-125,-6.3405984154682855,292422,-6.911938530955851,-7.041327900370703,-80,-5.622357513611156,-17.300917139849183,-17.76831271175783,-18.31479254471155,-19.10097676284513,-19.29198932170177,-20.421991777130586,-10.641048142345575,-8.519220373548883,-0.008912655971479501,0.0
RU,20161014,-7.146499840049337,-7.18725707319863,-6.621241713093475,-6.844089340367894,-6.520621268409663,678166,9701934.85,315,18.63913492851843,315978,-7.049951185576056,-6.635661491426504,235,17.670024275019827,-16.916791339432308,-17.626888345168148,-18.168360156075863,-19.00088698924076,-19.217867092576412,-20.329759207871106,28.784217830811357,24.44480392129772,0.021897810218978103,1.0
RU,20161017,-6.526413411377256,-6.458045382914548,-6.595514400234478,-6.340295393575559,-6.667249117905087,596490,8571482.64,-5,0.607631778025052,310860,-6.644300131305059,-6.5319732031461655,60,4.8890435345304795,-16.75820091069958,-17.48293052346814,-18.039895695067415,-18.88877276587951,-19.148671420063224,-20.2418787114889,-6.358791704519582,-5.166147362504134,-0.00034965034965034965,0.0
