合约,日期,前收盘,开盘价,最高价,最低价,收盘价,成交量,成交金额,涨跌(收盘价),涨跌幅(收盘价),持仓量,前结算,结算价,涨跌(结算价),涨跌幅(结算价),MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
CU,20101027,21.61454169013237,22.333110337863232,21.99987261328542,20.61347172532517,20.650371113816163,242626,7836763.01,-690,-15.048822358899137,135612,21.33635079581437,20.921674254858686,-330,-9.814987502989162,9.257959193521884,8.751412964610793,7.1754602184101515,5.861385305386918,4.864825415048983,3.1955539429757778,21.246958831905204,25.837038441727927,-0.010742643624474545,0.0
CU,20101028,20.606187076441913,20.246014431638287,20.15580799813769,20.024538044166263,20.34043923534645,183540,5874131.73,-570,-12.734275624922248,144258,20.860894224902907,20.061927061890884,-590,-16.760786131673186,9.614307715112716,8.767277551825387,7.442725662358853,6.029480897005456,5.116889436551361,3.4068796268673154,12.792398864225419,15.575273748203642,-0.008903467666354265,0.0
CU,20101029,20.296041142595456,19.638888004497986,19.16120058486557,18.196171547616103,17.992660939963486,218078,6860639.19,-1540,-30.504828664759447,139936,20.001788040221527,18.444035206482255,-1090,-28.623766428073793,9.524692088365171,8.574716589565682,7.632156258915344,6.165002318626762,5.324016739958182,3.593469830777849,-3.549665025850736,-4.909884026114192,-0.024655779699007365,0.0
CU,20101101,17.94675600508377,18.695375839309364,19.563762776209742,18.95121798352504,19.86530161793398,188812,5995915.73,790,16.772235440953793,150012,18.385251286734842,19.33925923879987,600,16.209570045414665,9.28507559240326,8.665992762303446,7.850724229955375,6.3533634441869395,5.583122999724026,3.7801245984881007,14.511788063905854,17.6212270087768,0.012401883830455259,1.0
CU,20101102,19.820582287811604,19.624011162226466,19.504271695042448,19.355673864902045,19.62645480181763,187222,5944490.9,30,0.17981793647049216,150440,19.279702140555827,19.32443101112294,-10,-0.9546216688334539,9.025358744889303,8.682046935787454,8.074419974106931,6.593392118564182,5.811333382019072,3.9619494551676198,2.5148866201816773,2.623224245000955,0.00047214353163361664,0.0
CU,20101103,19.58157713519053,20.231272603442747,20.479182924128963,20.319673528574825,20.414368422917704,188782,6058959.3,570,11.945176904265068,151832,19.264886254184574,20.340051883517802,690,18.39535362799704,8.982980073131884,8.8722254129233,8.303055872672005,6.845979298561616,6.038108325115076,4.154412678503235,3.7431221026183437,4.19191171487094,0.008896519431871391,1.0
CU,20101104,20.370021065089034,20.862137446503922,20.74255645323821,20.628126258960023,21.338536069957613,161244,5192568.7,510,10.581372147602366,159124,20.279699291984983,20.64606850325265,210,5.2682993745788025,9.162034115896148,9.138570474175822,8.586514352324272,7.089925393552647,6.226972717726369,4.327082852781501,11.140468057907725,13.640535239758421,0.007882534775888718,1.0
CU,20101105,21.294840152648717,23.124929899868548,24.75979234688323,23.474708432524068,25.122749779312016,303444,10174800.55,2990,44.7004495242204,186378,20.58548774901415,24.38966139026168,2660,46.90401803703213,10.427711571788194,9.724352097801955,9.037400064706986,7.473579109266453,6.537991522252099,4.561672589561809,32.18667947176506,38.83573172394448,0.04436860068259386,1.0
CU,20101108,25.082063189264332,24.768867526459843,24.542215293256262,23.600060502845082,24.025776724983444,236720,7901220.6,-470,-10.174493306332813,165214,24.3269148384001,23.966539841296495,-310,-9.00069668892592,11.155041629714674,9.971964338439193,9.272443784922217,7.819560299354649,6.780013934614374,4.773402047847284,-23.521423565010615,-30.200047469673613,-0.0070581168343595135,0.0
CU,20101109,23.984159974631666,23.404938053199814,26.018006451734593,23.76672571111058,25.968936407655434,347252,11746057.33,1270,24.537632937027226,184802,23.90397627696744,25.18493676679752,900,22.51225960190139,12.247315747064562,10.399653427940905,9.646044545343429,8.224302384879906,7.054387224717374,5.0212552253559295,25.076777185798264,31.508197148232526,0.01867097912378712,1.0
